"Variable","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"RandomForest",0.367722786186288,0.0708525468927103,-0.129420052838944,-0.374142713179878,0.136841111478212
"SVM",0.458145752365762,0.214164586145587,-0.248677989506568,0.0334318774408044,-0.104096376615273
"NeuralNetwork",0.15268221710472,0.132980448502866,-0.181403788135826,0.341398412699991,0.294502171479236
"KNN",0.249783010943713,0.418079996270483,-0.057896602703746,-0.172524962338951,-0.102764358555606
"DecisionTree",0.3269966885695,0.00403426671623028,-0.0257928812527865,-0.0558052078418326,0.120701621816625
"NaiveBayes",0.318274461185104,-0.369056657598661,0.0163218701134606,-0.0093894117531143,-0.348569182867971
"LogisticRegression",0.0944059272835379,0.272211067083481,0.0471131742782056,-0.369537998341138,-0.0672097589125482
"GradientBoosting",0.283398804591351,-0.0881509834925536,-0.658385967652619,0.110710534273826,0.171526538635224
"EnsembleMethods",0.346922841984379,-0.21103005144992,-0.53236005924152,0.159508005510977,-0.111954953894607
"NIR",0.282530900291868,0.594027251493868,-0.0703842399080444,0.224780554920602,-0.240151107945855
"FTIR",0.124279714879034,0.306485783257519,-0.196807439720844,0.432463684618703,-0.105411495681832
"GCMS",0.442370848047356,-0.525684315471652,-0.107530002609063,0.00408952384985978,0.0629137619224738
"LCMS",0.355239455673491,-0.464436346450194,0.210196592702111,-0.090743747825633,-0.318877314258611
"ICPMS",0.204419456151484,-0.133145083018764,0.256449849504067,-0.059890108982885,-0.16497793892612
"NMR",0.00445205603126577,-0.0746959177058831,0.376394378890528,0.277349105854607,0.35557169626211
"Spectroscopy",0.270816566949284,0.555220369269345,0.134655912306024,0.487213276355513,-0.18431599538176
"Chromatography",0.477081681025133,-0.643479799727499,0.136854628649094,-0.0115858760952102,-0.0579437834643078
"MassSpec",0.530063828887221,-0.211259148121261,0.106209610136377,-0.254354807700207,0.295697766633705
"Sensor",0.134264014685682,-0.145838062087479,0.00392835793058754,0.088509767503221,0.576035185533716
"Wine",-0.118614111590672,0.0380909589958947,0.141739501002431,0.0246706952116106,0.181552684017986
"Coffee",-0.0100932756292925,-0.159850943875607,0.168980029481045,0.089381994007963,0.363596040853264
"Olive",0.0261722663538849,-0.0299199494104509,0.155546023932575,0.117412806155278,0.270613397469226
"Honey",0.346736081716962,0.337688931605057,0.104567334608905,-0.461401517316731,0.0618554369523492
"Cheese",0.098076055106367,0.047917595495914,0.217727261750732,0.194082993112832,-0.276938525599438
"Tea",0.23505147999715,0.20855507811993,-0.168608798150021,-0.236140331889243,0.353902281627018
"Meat",0.296757407146329,-0.347850402055871,0.254871623131721,0.135923405281485,-0.266543823691469
"Fruit",0.395056376075843,-0.281992315937057,-0.408655110990599,0.195823082070721,-0.0836001112580998
"Vegetable",0.0155716216591699,0.0369237570978246,0.175159639086158,0.0780721338235885,0.220827077550775
"Authentication",0.502662286795248,0.154401421924047,0.364684294185504,0.200221390556421,-0.166917374446299
"Classification",0.632014216927789,0.237361513861264,0.105753985975898,0.148909193073072,-0.0372419548962431
"OriginDetection",0.639992205109031,0.149773934342322,0.18172290911764,0.209783926626228,0.300812534927171
"QualityControl",0.232414386358139,-0.00223426441866713,0.278317847508952,0.256393036628716,0.298189661541728
"Adulteration",0.374481602574866,0.0638618538684443,0.235643190442305,-0.108977364902328,-0.127903020215631
"Europe",0.222608145263078,0.0567214027947219,0.234504578957044,-0.115273526205643,0.0844441733608353
"Asia",0.393339056314625,0.042444608144133,-0.399920379904855,-0.218960724848909,0.0453505554270849
"Americas",0.0104711269603153,-0.185350760391627,0.111955852857183,-0.1460322004741,-0.130684273376338
"Africa",0.292178650876496,0.409884264094677,0.145119442186649,-0.52309236516413,-0.014626235280558
